Data;direcao;rajada;velocidade
1/01/2023 0:00;113;2.8;1.3
1/01/2023 1:00;52;3.2;0.9
1/01/2023 2:00;53;2.5;1.2
1/01/2023 3:00;5;4.5;1.9
1/01/2023 4:00;358;4.8;2.1
1/01/2023 5:00;346;5.3;2.1
1/01/2023 6:00;318;4.2;2.3
1/01/2023 7:00;312;3.9;2.3
1/01/2023 8:00;279;4.4;2.1
1/01/2023 9:00;280;5;2
1/01/2023 10:00;295;4.4;1.5
1/01/2023 11:00;334;3.9;1.9
1/01/2023 12:00;352;6.2;2.8
1/01/2023 13:00;355;7.2;2.5
1/01/2023 14:00;340;6;2.6
1/01/2023 15:00;10;6.4;3.1
1/01/2023 16:00;13;6.8;2.2
1/01/2023 17:00;24;7;3.1
1/01/2023 18:00;63;7.2;2.5
1/01/2023 19:00;104;7.2;1.9
1/01/2023 20:00;105;5.5;2.3
1/01/2023 21:00;113;4.8;1.9
1/01/2023 22:00;96;5.1;1.7
1/01/2023 23:00;88;5.4;2.2
2/01/2023 0:00;68;5.2;1.1
2/01/2023 1:00;40;6.2;2.1
2/01/2023 2:00;348;6.2;2.7
2/01/2023 3:00;347;5.9;2.1
2/01/2023 4:00;325;4;1.4
2/01/2023 5:00;346;4.8;2.4
2/01/2023 6:00;351;5.5;3.1
2/01/2023 7:00;337;5.6;2.3
2/01/2023 8:00;333;5.2;2.2
2/01/2023 9:00;334;5.2;1.8
2/01/2023 10:00;341;5.2;2
2/01/2023 11:00;342;5.9;2.8
2/01/2023 12:00;339;7.4;3.6
2/01/2023 13:00;328;8.3;4.2
2/01/2023 14:00;334;10;3.9
2/01/2023 15:00;349;8.3;4.2
2/01/2023 16:00;322;9.6;4.3
2/01/2023 17:00;309;10.6;5.1
2/01/2023 18:00;313;10.9;3.9
2/01/2023 19:00;326;8.4;3.9
2/01/2023 20:00;333;8.5;2.6
2/01/2023 21:00;332;5.6;2
2/01/2023 22:00;357;4.2;1
2/01/2023 23:00;29;3.4;1.2
3/01/2023 0:00;10;4.2;1.6
3/01/2023 1:00;353;5.2;2.7
3/01/2023 2:00;345;6.1;2.4
3/01/2023 3:00;343;4.9;1.7
3/01/2023 4:00;340;4;1.9
3/01/2023 5:00;315;5.4;3.6
3/01/2023 6:00;306;5.4;2.8
3/01/2023 7:00;314;5.8;3.9
3/01/2023 8:00;297;5.8;2
3/01/2023 9:00;293;5;3
3/01/2023 10:00;258;7;1.9
3/01/2023 11:00;249;5.2;1.8
3/01/2023 12:00;266;4.4;1.4
3/01/2023 13:00;124;3.5;1.1
3/01/2023 14:00;96;6;2.9
3/01/2023 15:00;205;7.2;2.7
3/01/2023 16:00;142;6.5;3.3
3/01/2023 17:00;161;7.2;2.5
3/01/2023 18:00;161;8;1.4
3/01/2023 19:00;168;5.8;2.5
3/01/2023 20:00;169;6.7;2.3
3/01/2023 21:00;155;7.4;3.1
3/01/2023 22:00;158;6.7;3
3/01/2023 23:00;167;5.9;2.3
4/01/2023 0:00;163;7.2;3.1
4/01/2023 1:00;170;7.7;3
4/01/2023 2:00;169;9.6;4
4/01/2023 3:00;173;9.8;2.2
4/01/2023 4:00;160;6.8;1.8
4/01/2023 5:00;145;4.6;1.1
4/01/2023 6:00;170;3.7;1.1
4/01/2023 7:00;176;4.3;2.1
4/01/2023 8:00;163;5.1;2.4
4/01/2023 9:00;159;5.9;2.2
4/01/2023 10:00;162;5.1;1.2
4/01/2023 11:00;181;5.1;1.6
4/01/2023 12:00;168;5.8;2
4/01/2023 13:00;165;11;2
4/01/2023 14:00;178;7.2;3.1
4/01/2023 15:00;173;7.2;2.2
4/01/2023 16:00;169;6.9;2.5
4/01/2023 17:00;178;5.9;1.8
4/01/2023 18:00;162;5.3;2
4/01/2023 19:00;179;4.9;1.5
4/01/2023 20:00;165;5;1.3
4/01/2023 21:00;165;6;2.5
4/01/2023 22:00;160;6.5;1.7
4/01/2023 23:00;149;3.6;1.1
5/01/2023 0:00;157;5;1.9
5/01/2023 1:00;141;5.4;1.1
5/01/2023 2:00;155;3.8;1.8
5/01/2023 3:00;161;4.4;2.2
5/01/2023 4:00;156;4.5;2.3
5/01/2023 5:00;160;5.1;2.4
5/01/2023 6:00;191;5.4;1.5
5/01/2023 7:00;156;4;1.5
5/01/2023 8:00;139;3.4;1.3
5/01/2023 9:00;208;2;1
5/01/2023 10:00;88;1.9;0.3
5/01/2023 11:00;149;3.4;1.3
5/01/2023 12:00;117;4.4;1.7
5/01/2023 13:00;84;4.8;1.8
5/01/2023 14:00;121;5.3;2.4
5/01/2023 15:00;116;5.1;2.4
5/01/2023 16:00;102;6;2.2
5/01/2023 17:00;123;7;3.4
5/01/2023 18:00;83;7.6;2.3
5/01/2023 19:00;87;6.1;2.4
5/01/2023 20:00;96;5.6;2.4
5/01/2023 21:00;107;5.7;2.3
5/01/2023 22:00;105;4.2;1.5
5/01/2023 23:00;180;3.7;0.5
6/01/2023 0:00;128;1.5;1.2
6/01/2023 1:00;250;1.9;0.3
6/01/2023 2:00;159;1.4;0.7
6/01/2023 3:00;175;1.5;0.5
6/01/2023 4:00;137;1.8;1.4
6/01/2023 5:00;153;1.8;1
6/01/2023 6:00;139;2;1.4
6/01/2023 7:00;135;2.1;1.5
6/01/2023 8:00;155;1.9;1.2
6/01/2023 9:00;179;2.5;1.2
6/01/2023 10:00;146;2.5;1.2
6/01/2023 11:00;127;4.6;2.5
6/01/2023 12:00;146;6.3;3
6/01/2023 13:00;146;6.3;1.9
6/01/2023 14:00;140;7;2.6
6/01/2023 15:00;115;7.8;3.6
6/01/2023 16:00;117;6.7;3.4
6/01/2023 17:00;121;8.2;3.1
6/01/2023 18:00;97;7.3;3.2
6/01/2023 19:00;115;6.8;3
6/01/2023 20:00;153;9.6;3.7
6/01/2023 21:00;152;9.7;4.2
6/01/2023 22:00;153;9.1;4.1
6/01/2023 23:00;148;10.3;3.8
7/01/2023 0:00;152;8.8;2.9
7/01/2023 1:00;147;5.3;1.6
7/01/2023 2:00;151;4.2;2.1
7/01/2023 3:00;145;3.7;1.2
7/01/2023 4:00;157;4.1;0.7
7/01/2023 5:00;164;2.5;1.1
7/01/2023 6:00;159;3.4;1.7
7/01/2023 7:00;160;3.1;1.6
7/01/2023 8:00;158;3;1.8
7/01/2023 9:00;155;3.6;1.6
7/01/2023 10:00;155;3.9;2.2
